source_path,category,confidence,reasons,dest_path
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\1-大模型（LLMs）基础面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\1-大模型（LLMs）基础面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\1-大模型（LLMs）基础面_L.docx,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\1-大模型（LLMs）基础面_L.docx
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\11-大模型（LLMs）langchain 面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\11-大模型（LLMs）langchain 面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\12-多轮对话中让AI保持长期记忆的8种优化方式篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\12-多轮对话中让AI保持长期记忆的8种优化方式篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\16-LLM文档对话 —— pdf解析关键问题.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\16-LLM文档对话 —— pdf解析关键问题.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\17-大模型（LLMs）RAG 版面分析——表格识别方法篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\17-大模型（LLMs）RAG 版面分析——表格识别方法篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\18-大模型（LLMs）RAG 版面分析——文本分块面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\18-大模型（LLMs）RAG 版面分析——文本分块面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\19-大模型外挂知识库优化——如何利用大模型辅助召回？.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\19-大模型外挂知识库优化——如何利用大模型辅助召回？.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\2-Layer normalization 篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\2-Layer normalization 篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\20-大模型外挂知识库优化——负样本样本挖掘篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\20-大模型外挂知识库优化——负样本样本挖掘篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\21-RAG（Retrieval-Augmented Generation）评测面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\21-RAG（Retrieval-Augmented Generation）评测面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\22-检索增强生成(RAG) 优化策略篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\22-检索增强生成(RAG) 优化策略篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\23-大模型（LLMs）RAG —— 关键痛点及对应解决方案.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\23-大模型（LLMs）RAG —— 关键痛点及对应解决方案.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\24-大模型（LLMs）RAG 优化策略 —— RAG-Fusion篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\24-大模型（LLMs）RAG 优化策略 —— RAG-Fusion篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\25-Graph RAG 面 — 一种 基于知识图谱的大模型检索增强实现策略.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\25-Graph RAG 面 — 一种 基于知识图谱的大模型检索增强实现策略.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\26-大模型（LLMs）参数高效微调(PEFT) 面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\26-大模型（LLMs）参数高效微调(PEFT) 面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\27-适配器微调（Adapter-tuning）篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\27-适配器微调（Adapter-tuning）篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\28-提示学习（Prompting）篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\28-提示学习（Prompting）篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\29-LoRA 系列篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\29-LoRA 系列篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\3-LLMs 激活函数篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\3-LLMs 激活函数篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\30-如何使用 PEFT库 中 LoRA？.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\30-如何使用 PEFT库 中 LoRA？.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\31-大模型（LLMs）推理面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\31-大模型（LLMs）推理面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\32-大模型（LLMs）增量预训练篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\32-大模型（LLMs）增量预训练篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\33-增量预训练（Pretrain）样本拼接篇.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\33-增量预训练（Pretrain）样本拼接篇.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\34-基于lora的llama2二次预训练.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\34-基于lora的llama2二次预训练.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\35-大模型（LLMs）评测面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\35-大模型（LLMs）评测面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\36-大模型（LLMs）强化学习面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\36-大模型（LLMs）强化学习面.pdf
C:\Users\15048\Desktop\AI面试官\数据\data_raw\其他\LLM\LLM\37-大模型（LLMs）强化学习——RLHF及其变种面.pdf,其他,0.0,no_match,C:\Users\15048\Desktop\AI面试官\数据\清洗后数据\其他\其他\LLM\LLM\37-大模型（LLMs）强化学习——RLHF及其变种面.pdf
